Power Spectrum Density Estimate Output File from FourierTransform
This file, FourierTransformPSD.txt, was created at 15:09:06 on 14 дек. 2022 г.
Window: Gaussian, alpha = 2.0
Number of segments = 	1
Segment length = 	1024

Frequency	Mean Square
(cycles per	Amplitude
gridpoint)	 
0.0	0.0
9.7656E-4	0.0
0.002	0.0
0.0029	0.0
0.0039	0.0
0.0049	0.0
0.0059	0.0
0.0068	0.0
0.0078	0.0
0.0088	0.0
0.0098	0.0
0.0107	0.0
0.0117	0.0
0.0127	0.0
0.0137	0.0
0.0147	0.0
0.0156	0.0
0.0166	0.0
0.0176	0.0
0.0186	0.0
0.0195	0.0
0.0205	0.0
0.0215	0.0
0.0225	0.0
0.0234	0.0
0.0244	0.0
0.0254	0.0
0.0264	0.0
0.0273	0.0
0.0283	0.0
0.0293	0.0
0.0303	0.0
0.0313	0.0
0.0322	0.0
0.0332	0.0
0.0342	0.0
0.0352	0.0
0.0361	0.0
0.0371	0.0
0.0381	0.0
0.0391	0.0
0.04	0.0
0.041	0.0
0.042	0.0
0.043	0.0
0.044	0.0
0.0449	0.0
0.0459	0.0
0.0469	0.0
0.0479	0.0
0.0488	0.0
0.0498	0.0
0.0508	0.0
0.0518	0.0
0.0527	0.0
0.0537	0.0
0.0547	0.0
0.0557	0.0
0.0566	0.0
0.0576	0.0
0.0586	0.0
0.0596	0.0
0.0606	0.0
0.0615	0.0
0.0625	0.0
0.0635	0.0
0.0645	0.0
0.0654	0.0
0.0664	0.0
0.0674	0.0
0.0684	0.0
0.0693	0.0
0.0703	0.0
0.0713	0.0
0.0723	0.0
0.0732	0.0
0.0742	0.0
0.0752	0.0
0.0762	0.0
0.0772	0.0
0.0781	0.0
0.0791	0.0
0.0801	0.0
0.0811	0.0
0.082	0.0
0.083	0.0
0.084	0.0
0.085	0.0
0.0859	0.0
0.0869	0.0
0.0879	0.0
0.0889	0.0
0.0898	0.0
0.0908	0.0
0.0918	0.0
0.0928	0.0
0.0938	0.0
0.0947	0.0
0.0957	0.0
0.0967	0.0
0.0977	0.0
0.0986	0.0
0.0996	0.0
0.1006	0.0
0.1016	0.0
0.1025	0.0
0.1035	0.0
0.1045	0.0
0.1055	0.0
0.1065	0.0
0.1074	0.0
0.1084	0.0
0.1094	0.0
0.1104	0.0
0.1113	0.0
0.1123	0.0
0.1133	0.0
0.1143	0.0
0.1152	0.0
0.1162	0.0
0.1172	0.0
0.1182	0.0
0.1191	0.0
0.1201	0.0
0.1211	0.0
0.1221	0.0
0.1231	0.0
0.124	0.0
0.125	0.0
0.126	0.0
0.127	0.0
0.1279	0.0
0.1289	0.0
0.1299	0.0
0.1309	0.0
0.1318	0.0
